Term,UnitsTypeCV,UnitsAbbreviation,UnitsName,UnitsLink
siderealSecond,Time,,Sidereal Second,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealYear,Time,,Sidereal Year,http://qudt.org/vocab/unit#YearSidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
svedbergUnit,Time,S,Svedberg Unit,http://unitsofmeasure.org/ucum.html#para-45
synodalMonth,Time,mo_s,Synodal Month,http://unitsofmeasure.org/ucum.html#para-31
tropicalMonth,Time,,Tropical Month,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
tropicalYear,Time,a_t,Tropical Year,http://qudt.org/vocab/unit#YearTropical; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
week,Time,week; wk,Week,http://unitsofmeasure.org/ucum.html#para-31; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
workMonth,Time,,Work Month,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
workYear,Time,,Work Year,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
year,Time,a,Year,http://unitsofmeasure.org/ucum.html#para-31
yearDay(Julian),Time,yyddd,Year Day (Julian),http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
secondSquared,Time squared,s^2,Second Squared,http://qudt.org/vocab/unit#SecondTimeSquared
dyneCentimeter,Torque,dyn-cm,Dyne Centimeter,http://qudt.org/vocab/unit#DyneCentimeter
kilogramForceMeter,Torque,kgf-m,Kilogram Force Meter,http://qudt.org/vocab/unit#KilogramForceMeter
newtonMeter,Torque,N-m,Newton Meter,http://qudt.org/vocab/unit#NewtonMeter
ounceForceInch,Torque,ozf-in,Ounce Force Inch,http://qudt.org/vocab/unit#OunceForceInch
poundForceFoot,Torque,lbf-ft,Pound Force Foot,http://qudt.org/vocab/unit#PoundForceFoot
poundForceInch,Torque,lbf-in,Pound Force Inch,http://qudt.org/vocab/unit#PoundForceInch
attenuationUnit,Turbidity,AU,Attenuation Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
backscatterUnit,Turbidity,BU,Backscatter Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinAttenuationUnit,Turbidity,FAU,Formazin Attenuation Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinBackscatterUnit,Turbidity,FBU,Formazin Backscatter Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinNephelometricMultibeamUnit,Turbidity,FNMU,Formazin Nephelometric Multibeam Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinNephelometricRatioUnit,Turbidity,FNRU,Formazin Nephelometric Ratio Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinNephelometricUnit,Turbidity,FNU,Formazin Nephelometric Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
jacksonCandleUnit,Turbidity,JCU,Jackson Candle Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
jacksonTurbidityUnit,Turbidity,JTU,Jackson Turbidity Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nephelometricTurbidityMultibeamUnit,Turbidity,NTMU,Nephelometric Turbidity Multibeam Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nephelometricTurbidityRatioUnit,Turbidity,NTRU,Nephelometric Turbidity Ratio Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nephelometricTurbidityUnit,Turbidity,NTU,Nephelometric Turbidity Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
acreFoot,Volume,ac-ft,Acre Foot,http://qudt.org/vocab/unit#AcreFoot; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
barrel,Volume,bbl_us,Barrel,"http://qudt.org/vocab/unit#Barrel; http://unitsofmeasure.org/ucum.html#para-37; 
https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml"
boardFoot,Volume,bf_i,Board Foot,http://qudt.org/vocab/unit#BoardFoot; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bushel,Volume,bu_us,Bushel,http://qudt.org/vocab/unit#Bushel; http://unitsofmeasure.org/ucum.html#para-37; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
cord,Volume,cr_i,Cord,http://qudt.org/vocab/unit#Cord; http://unitsofmeasure.org/ucum.html#para-37
cubicCentimeter,Volume,cm^3,Cubic Centimeter,http://qudt.org/vocab/unit#CubicCentimeter
cubicDecameter,Volume,dam^3,Cubic Decameter,
cubicFoot,Volume,cfs; cft_i,Cubic Foot,http://qudt.org/vocab/unit#CubicFoot
cubicFootPerSecondDays,Volume,cfs-d,Cubic Foot per Second Days,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
cubicHectoMeter,Volume,(hm)^3,Cubic Hecto Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicInch,Volume,in^3; cin_i,Cubic Inch,http://qudt.org/vocab/unit#CubicInch
cubicMeter,Volume,m^3,Cubic Meter,http://qudt.org/vocab/unit#CubicMeter
cubicMeterPerSecondDays,Volume,cms d,Cubic Meter per Second Days,
cubicMile,Volume,mi^3,Cubic Mile,http://qudt.org/vocab/unit#CubicMile
cubicMillimeter,Volume,mm^3,Cubic Millimeter,http://qudt.org/vocab/unit#CubicMillimeter
cubicYard,Volume,yd^3; cyd_i,Cubic Yard,http://qudt.org/vocab/unit#CubicYard
"cup,British",Volume,,"Cup, British",http://www.unidata.ucar.edu/software/udunits/
"cup,Metric",Volume,cup_m,"Cup, Metric",http://unitsofmeasure.org/ucum.html#para-37
"cup,Us",Volume,cup_us,"Cup, US",http://qudt.org/vocab/unit#LiquidCupUS; http://www.unidata.ucar.edu/software/udunits/
drop,Volume,drp,Drop,http://unitsofmeasure.org/ucum.html#para-44
"dryGallon,Us",Volume,dry_gal,"Dry Gallon, US",http://qudt.org/vocab/unit#DryGallonUS; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"dryPint,Us",Volume,dpt_us,"Dry Pint, US",http://qudt.org/vocab/unit#DryPintUS; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"dryQuart,Us",Volume,dqt_us,"Dry Quart, US",http://qudt.org/vocab/unit#DryQuartUS; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
firkin,Volume,,Firkin,http://www.unidata.ucar.edu/software/udunits/
"fluidDram,British",Volume,fdr_br,"Fluid Dram, British",http://unitsofmeasure.org/ucum.html#para-38
"fluidDram,Us",Volume,fdr_us,"Fluid Dram, US",http://unitsofmeasure.org/ucum.html#para-37
"fluidOunce,British",Volume,foz_br,"Fluid Ounce, British",http://qudt.org/vocab/unit#OunceImperial; http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"fluidOunce,Metric",Volume,foz_m,"Fluid Ounce, Metric",http://unitsofmeasure.org/ucum.html#para-37
"fluidOunce,Us",Volume,foz_us,"Fluid Ounce, US",http://qudt.org/vocab/unit#LiquidOunceUS; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"gallon,British",Volume,gal_br,"Gallon, British",http://qudt.org/vocab/unit#GallonImperial; http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"gallon,Us",Volume,gal_us,"Gallon, US",http://qudt.org/vocab/unit#GallonUS; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://unitsofmeasure.org/ucum.html#para-37
"gill,British",Volume,gil_br,"Gill, British",http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"gill,Us",Volume,gil_us,"Gill, US",http://unitsofmeasure.org/ucum.html#para-37; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectareMeter,Volume,hec m,Hectare Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
historicalWinchterGallon,Volume,gal_wi,Historical Winchter Gallon,http://unitsofmeasure.org/ucum.html#para-37
liter,Volume,L,Liter,http://qudt.org/vocab/unit#Liter; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-31; http://qwwebservices.usgs.gov/service-domains.html
megaliter,Volume,Ml,Megaliter,http://environment.data.gov.au/def/unit/Megalitre
milliliter,Volume,mL,Milliliter,http://environment.data.gov.au/def/unit/Millilitre
millionCubicFoot,Volume,10^6 ft^3Mft3,Million Cubic Foot,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millionGallon,Volume,Mgal,Million Gallon,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
"minim,British",Volume,min_br,"Minim, British",http://unitsofmeasure.org/ucum.html#para-38
"minim,Us",Volume,min_us,"Minim, US",http://unitsofmeasure.org/ucum.html#para-37
peck,Volume,pk_us,Peck,http://qudt.org/vocab/unit#Peck; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"peck,British",Volume,pk_br,"Peck, British",http://unitsofmeasure.org/ucum.html#para-38
"pint,British",Volume,pt_br,"Pint, British",http://qudt.org/vocab/unit#PintImperial; http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"pint,Us",Volume,pt_us,"Pint, US",http://qudt.org/vocab/unit#LiquidPintUS; http://unitsofmeasure.org/ucum.html#para-37; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
planckVolume,Volume,,Planck Volume,http://qudt.org/vocab/unit#PlanckVolume
"quart,British",Volume,qt_br,"Quart, British",http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"quart,Us",Volume,qt_us,"Quart, US",http://qudt.org/vocab/unit#LiquidQuartUS; http://unitsofmeasure.org/ucum.html#para-37; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
queen Anne'SWineGallon,Volume,gal_us,Queen Anne's Wine Gallon,http://unitsofmeasure.org/ucum.html#para-37
registerTon,Volume,RT,Register Ton,http://qudt.org/vocab/unit#RegisterTon; http://www.unidata.ucar.edu/software/udunits/
stere,Volume,st,Stere,http://qudt.org/vocab/unit#Stere; http://unitsofmeasure.org/ucum.html#para-47; http://www.unidata.ucar.edu/software/udunits/
tablespoon,Volume,"tbsp; tbs, tbs_us",Tablespoon,http://qudt.org/vocab/unit#Tablespoon; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"tablespoon,Metric",Volume,tbs_m,"Tablespoon, Metric",http://unitsofmeasure.org/ucum.html#para-37
teaspoon,Volume,tsp; tsp_us,Teaspoon,http://qudt.org/vocab/unit#Teaspoon; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"teaspoon,Metric",Volume,tsp_m,"Teaspoon, Metric",http://unitsofmeasure.org/ucum.html#para-37
thousandAcreFoot,Volume,10^3 ac ft; Kac-ft,Thousand Acre Foot,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
thousandGallon,Volume,10^3 gal,Thousand Gallon,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerKelvin,Volume thermal expansion,m^3/K,Cubic Meter per Kelvin,http://qudt.org/vocab/unit#CubicMeterPerKelvin
acreFootPerDay,Volumetric flow rate,ac ft/d,Acre Foot per Day,
acreFootPerHalfMonth,Volumetric flow rate,ac ft/0.5 mo,Acre Foot per Half Month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
acreFootPerHour,Volumetric flow rate,ac ft/hr,Acre Foot per Hour,
acreFootPerMonth,Volumetric flow rate,ac ft/mo,Acre Foot per Month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
acreFootPerYear,Volumetric flow rate,ac ft/yr,Acre Foot per Year,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
arizonaMiner'SInch,Volumetric flow rate,Az Miner Inch,Arizona Miner's Inch,https://en.wikipedia.org/wiki/Miner's_inch
cubicCentimeterPerSecond,Volumetric flow rate,cm^3/sec,Cubic Centimeter per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicDecameterPerHour,Volumetric flow rate,dam^3/h,Cubic Decameter per Hour,
cubicDecameterPerMinute,Volumetric flow rate,dam^3/min,Cubic Decameter per Minute,
cubicDecameterPerSecond,Volumetric flow rate,dam^3/s,Cubic Decameter per Second,
cubicFootPerMinute,Volumetric flow rate,ft^3/min,Cubic Foot per Minute,http://qudt.org/vocab/unit#CubicFootPerMinute
cubicFootPerSecond,Volumetric flow rate,ft^3/s,Cubic Foot per Second,http://qudt.org/vocab/unit#CubicFootPerSecond; http://qwwebservices.usgs.gov/service-domains.html
cubicInchPerMinute,Volumetric flow rate,in^3/min,Cubic Inch per Minute,http://qudt.org/vocab/unit#CubicInchPerMinute
cubicInchPerSecond,Volumetric flow rate,in^3/s,Cubic Inch per Second,
cubicMeterPerDay,Volumetric flow rate,m^3/d,Cubic Meter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerHour,Volumetric flow rate,m^3/h,Cubic Meter per Hour,http://qudt.org/vocab/unit#CubicMeterPerHour
cubicMeterPerMinute,Volumetric flow rate,m^3/min,Cubic Meter per Minute,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerSecond,Volumetric flow rate,m^3/s,Cubic Meter per Second,http://qudt.org/vocab/unit#CubicMeterPerSecond
cubicYardPerMinute,Volumetric flow rate,yd^3/min,Cubic Yard per Minute,http://qudt.org/vocab/unit#CubicYardPerMinute
dropsPerMinute,Volumetric flow rate,drops/min,Drops per Minute,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonBritishPerSecond,Volumetric flow rate,gps,Gallon British per Second,
gallonUsPerDay,Volumetric flow rate,gpd,Gallon US per Day,http://qudt.org/vocab/unit#GallonUSPerDay; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerHour,Volumetric flow rate,gph,Gallon US per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerMinute,Volumetric flow rate,gpm,Gallon US per Minute,http://qudt.org/vocab/unit#GallonUSPerMinute; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
gallonUsPerMonth,Volumetric flow rate,gpm,Gallon US per Month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerSecond,Volumetric flow rate,gps,Gallon US per Second,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerYear,Volumetric flow rate,gpy,Gallon US per Year,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
literPerDay,Volumetric flow rate,L/d,Liter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
literPerHour,Volumetric flow rate,L/hr,Liter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
literPerMinute,Volumetric flow rate,L/min,Liter per Minute,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
literPerSecond,Volumetric flow rate,L/s,Liter per Second,http://environment.data.gov.au/def/unit/LitrePerSecond; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megaliterPerCalendarMonth,Volumetric flow rate,Ml/mo_c,Megaliter per Calendar Month,http://environment.data.gov.au/def/unit/MegalitrePerMonth
megaliterPerDay,Volumetric flow rate,Ml/d,Megaliter per Day,http://environment.data.gov.au/def/unit/MegalitrePerDay
megaliterPerWeek,Volumetric flow rate,Ml/wk,Megaliter per Week,http://environment.data.gov.au/def/unit/MegalitrePerWeek
millionGallonUsPerDay,Volumetric flow rate,MGD,Million Gallon US per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millionGallonUsPerMonth,Volumetric flow rate,MGM,Million Gallon US per Month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millionGallonUsPerYear,Volumetric flow rate,MGY,Million Gallon US per Year,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
sverdrup,Volumetric flow rate,,Sverdrup,http://www.unidata.ucar.edu/software/udunits/
gallonPerDayPerSquareFoot,Volumetric flux,gpd/ft^2,Gallon per Day per Square Foot,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliliterPerSquareCentimeterPerDay,Volumetric flux,ml/cm^2 d,Milliliter per Square Centimeter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
joulePerCubicMeterKelvin,Volumetric heat capacity,J/(m^3 K),Joule per Cubic Meter Kelvin,http://qudt.org/vocab/unit#JoulePerCubicMeterKelvin
gramPerCubicMeterPerHour,Volumetric productivity,g/m^3 hr,Gram per Cubic Meter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerCubicMeterPerSecond,Volumetric productivity,kg/m^3 s,Kilogram per Cubic Meter per Second,
milligramPerCubicMeterPerDay,Volumetric productivity,mg/m^3 d,Milligram per Cubic Meter per Day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerCubicMeterPerHour,Volumetric productivity,mg/m^3 hr,Milligram per Cubic Meter per Hour,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
newtonPerSecond,Yank,N/s,Newton per Second,
